Issue Time,Quantity,%
12,1075086,12.750589830682154
8,1050773,12.46223607056122
10,1019105,12.086651532433068
11,726363,8.614712386900937
13,526764,6.247455274805415
9,525717,6.2350377867600635
16,444816,5.2755466689406365
14,402969,4.779238529271293
18,321953,3.818383503977925
17,315211,3.738422945810058
15,293781,3.484261753057554
19,285495,3.385989254543917
7,187592,2.2248533117511777
1,167823,1.9903916869483662
20,159899,1.8964125319613927
2,149907,1.7779067625734775
22,146005,1.731628788979438
21,129526,1.536186777996306
6,107577,1.2758702115135852
23,91501,1.0852078067217392
3,86908,1.0307345282190679
4,83495,0.9902561264055214
0,78098,0.9262473556502594
5,55293,0.6557785735354272
